Round: 1, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 30, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 31, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 32, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 33, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
Round: 34, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 35, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 36, Attack Type: Statistical Attack, Error: 0, Time: 0.3572268486022949, NFound: 10, Coef: 10
Round: 37, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 38, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 39, Attack Type: Statistical Attack, Error: 0, Time: 0.3937358856201172, NFound: 10, Coef: 10
Round: 40, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 41, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 42, Attack Type: Statistical Attack, Error: 0, Time: 0.4588899612426758, NFound: 9, Coef: 9
Round: 43, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 44, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 45, Attack Type: Statistical Attack, Error: 0, Time: 0.49207282066345215, NFound: 7, Coef: 8
Round: 46, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 47, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 48, Attack Type: Statistical Attack, Error: Exception: cannot access local variable 'Bi' where it is not associated with a value, Time: None, NFound: None, Coef: None
Round: 49, Attack Type: Statistical Attack, Error: 4, Time: None, NFound: None, Coef: None
